objectid,web_url,phone,zip,gis_id,address,numrooms,name,x,y,addrid
1,,202-543-1020,20003,Htl_1,134 12TH STREET SE,5,A CAPITOL PLACE,400869.559999999997672,135613.839999999996508,66757
2,http://adamsinn.com/,202-745-3600,20009,Htl_2,1746 LANIER PLACE NW,26,ADAM'S INN,396392.869999999995343,139629.970000000001164,307146
11,https://www.ivycityhotel.com/,202-529-3900,20002,Htl_11,1615 NEW YORK AVENUE NE,58,IVY CITY HOTEL,401693.609999999986030,138754.309999999997672,286348
101,http://washingtoncourthotel.com/,202-628-2100,20001,Htl_135,525 NEW JERSEY AVENUE NW,265,WASHINGTON COURT HOTEL,399037.229999999981374,136551.160000000003492,279827
102,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-white-house-WASHSHX/index.html,202-296-1006,20006,Htl_55,1729 H STREET NW,116,HAMPTON INN WASHINGTON DC/WHITE HOUSE,396434.210000000020955,136958.980000000010477,279355
103,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-downtown-convention-center-WASHHHX/index.html,202-842-2500,20001,Htl_56,901 6TH STREET NW,228,HAMPTON INN WASHINGTON DOWNTOWN CONVENTION CENTER,398295.530000000027940,137103.049999999988358,300640
104,http://www.hayadams.com/,202-638-6600,20006,Htl_57,800 16TH STREET NW,145,THE HAY-ADAMS,396794.250000000000000,136964.260000000009313,279937
105,http://www.henleypark.com/,202-638-5200,20001,Htl_58,926 MASSACHUSETTS AVENUE NW,96,HENLEY PARK HOTEL,397770.070000000006985,137254.950000000011642,242922
106,http://www3.hilton.com/en/hotels/district-of-columbia/washington-hilton-DCAWHHH/index.html,202-483-3000,20009,Htl_59,1919 CONNECTICUT AVENUE NW,1070,WASHINGTON HILTON,396076.890000000013970,138733.910000000003492,242829
107,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-downtown-DCACHGI/index.html,202-783-7800,20005,Htl_60,815 14TH STREET NW,300,HILTON GARDEN INN WASHINGTON DC DOWNTOWN,397247.309999999997672,136979.779999999998836,279961
